girls,help,rating_R,cast,man,man,high,high,family,country,young,love,love,rating_NR,woman,rating_G,duration,black,life,life,rating_TV-MA,teen,rating_PG,old,series,rating_TV-Y,world,world,release_year,rating_TV-14,new,school,movie,type,group,director,friends,girl,girl,rating_TV-Y7,rating_PG-13
0,0,0.0,2752,0,1,0,0,0,3654,0,0,1,0.0,0,0.0,1,0,0,0,0.0,0,0.0,0,0,0.0,0,0,2005.0,1.0,0,0,0,1,0,7308,0,0,0,0.0,0.0
0,0,0.0,5499,0,0,0,0,0,1723,0,0,0,0.0,0,0.0,2,0,0,0,1.0,0,0.0,0,0,0.0,0,0,2021.0,0.0,0,0,0,1,0,3895,0,1,1,0.0,0.0
1,0,0.0,6090,0,0,0,0,0,9337,0,0,0,0.0,0,0.0,7,0,0,0,0.0,0,0.0,0,0,0.0,0,0,2006.0,1.0,0,0,0,1,0,3350,0,0,0,0.0,0.0
0,0,0.0,2607,0,0,0,0,0,9337,0,0,0,0.0,0,0.0,1,0,0,0,1.0,1,0.0,0,0,0.0,0,0,2017.0,0.0,0,0,0,1,0,2988,0,0,0,0.0,0.0
0,0,0.0,1292,0,0,0,0,0,9337,0,0,0,0.0,0,0.0,5,0,0,0,0.012224243431511073,0,0.0,0,0,0.0,0,0,2000.2444848686303,0.0,0,0,0,1,0,6672,0,0,0,0.0,0.0
0,0,0.0,6185,0,0,0,0,0,9337,0,0,0,0.0,0,0.0,2,0,0,0,1.0,0,0.0,0,0,0.0,0,0,2017.0,0.0,1,0,0,1,0,4854,0,0,0,0.0,0.0
0,0,0.0,3102,0,1,0,0,0,4466,0,0,0,0.0,0,0.0,1,0,0,0,0.0,0,0.0,0,0,0.0,0,0,2018.0,1.0,0,0,0,1,0,4545,0,0,0,0.0,0.0
0,0,0.0,6088,0,0,0,0,0,9337,1,0,0,0.0,1,0.0,1,0,0,1,0.0,0,0.0,0,0,0.0,0,0,2008.0,1.0,0,0,0,1,0,3230,0,0,0,0.0,0.0
0,0,0.0,1327,0,0,0,0,0,1723,0,0,1,0.0,0,0.0,1,0,0,0,0.0,0,0.0,1,0,0.0,0,0,2021.0,1.0,0,0,0,1,0,2401,0,0,0,0.0,0.0
0,0,0.0,6137,0,0,0,0,0,4096,0,0,0,0.0,0,0.0,1,0,0,0,1.0,0,0.0,0,0,0.0,0,1,2018.0,0.0,0,0,0,1,0,4849,1,0,0,0.0,0.0
0,0,0.0,6845,0,0,0,0,0,4096,0,0,0,0.0,0,0.0,2,0,0,0,1.0,0,0.0,0,0,0.0,0,0,2019.0,0.0,0,0,0,1,0,2910,0,0,1,0.0,0.0
0,0,0.0,5795,0,0,0,0,1,9190,1,1,0,0.0,1,0.0,1,0,0,0,0.0,0,0.0,0,0,0.0,0,0,2019.0,1.0,0,0,0,1,0,6841,0,0,0,0.0,0.0
0,0,0.0,1374,0,0,0,0,1,9304,0,0,1,0.0,0,0.0,1,0,0,0,0.0,0,0.0,0,0,0.0,0,0,2017.0,1.0,0,0,0,1,0,4354,0,0,0,0.0,0.0
0,0,0.0,8403,0,1,0,0,0,3654,0,0,2,0.0,1,0.0,1,0,1,1,0.0,0,0.0,0,0,0.0,0,0,2016.0,0.0,0,0,0,1,0,4621,0,0,0,0.0,0.0
0,0,0.0,4212,0,0,0,0,1,9337,1,0,0,0.0,1,0.0,3,0,0,0,1.0,0,0.0,0,0,0.0,0,0,2018.0,0.0,0,0,0,1,0,6805,0,0,0,0.0,0.0
0,0,0.0,1739,0,0,0,0,0,3543,0,0,0,0.0,0,0.0,4,0,0,0,0.2367966874431503,0,0.0,0,0,0.0,0,0,2018.2896099376705,0.0,0,0,0,1,0,3379,0,0,0,0.0,0.0
0,0,0.0,6644,0,0,0,0,0,2561,0,0,0,0.0,0,0.0,1,0,0,0,1.0,0,0.0,0,0,0.0,0,0,2016.0,0.0,0,0,0,1,0,2005,0,0,0,0.0,0.0
0,0,0.0,4407,0,0,0,0,0,4655,0,0,0,0.0,0,0.0,1,0,0,0,1.0,1,0.0,0,0,0.0,0,0,2018.0,0.0,0,0,0,1,0,6855,0,0,1,0.0,0.0
0,0,0.0,9404,0,0,0,0,0,3944,0,0,0,0.0,0,0.0,1,0,0,0,0.0,0,0.0,0,0,0.0,0,0,2014.0,1.0,0,0,0,1,0,6323,0,0,1,0.0,0.0
0,0,0.0,3777,0,0,0,0,0,9337,0,0,0,0.0,0,0.0,2,0,0,0,0.0,1,0.0,0,0,0.0,0,0,2021.0,1.0,0,0,0,1,0,3723,0,0,0,0.0,0.0
0,1,0.0,5570,0,0,0,0,0,5146,0,0,0,0.0,0,0.0,1,0,0,0,0.0,0,0.0,0,0,0.0,0,1,2017.0,1.0,0,0,0,1,0,4914,0,0,0,0.0,0.0
0,0,0.0,9476,0,0,0,0,0,1641,0,0,0,0.0,0,0.0,2,0,0,1,0.0,0,0.0,0,0,0.0,0,0,2020.0,1.0,1,0,0,1,0,6204,0,0,0,0.0,0.0
0,0,0.0,5135,0,1,0,0,0,6304,1,0,0,0.0,0,0.0,4,0,0,0,1.0,0,0.0,0,0,0.0,0,0,2020.0,0.0,0,0,0,1,0,6502,0,0,0,0.0,0.0
0,0,0.0,6654,0,0,0,0,1,4466,0,0,0,0.0,0,0.0,1,0,0,0,0.0,0,0.0,0,0,0.0,0,0,2018.0,1.0,0,0,0,1,0,5180,0,0,0,0.0,0.0
0,0,0.0,1243,0,0,0,0,1,3325,0,0,0,0.0,1,0.0,1,0,0,1,0.0,0,0.0,0,0,0.0,0,0,2016.0,0.0,1,0,0,1,0,9939,0,0,0,0.0,0.0
0,0,0.0,1859,0,0,0,0,0,9337,0,0,0,0.0,0,0.0,1,0,0,0,1.0,0,0.0,1,0,0.0,0,0,2015.0,0.0,1,0,0,1,0,3147,0,0,0,0.0,0.0
0,0,0.0,4739,0,0,0,0,0,9337,0,0,0,0.0,0,0.0,1,0,0,0,1.0,0,0.0,0,0,0.0,0,0,2018.0044239150834,0.0,0,0,0,1,0,5075,0,0,0,0.0,0.0
0,0,0.0,9719,0,0,0,0,0,3944,0,0,0,0.0,0,0.0,1,0,0,0,0.0,0,0.0,0,0,0.0,0,0,2012.6167392682437,0.8722464227478949,0,0,0,1,0,5336,0,0,0,0.0,0.0
0,0,0.0,2946,0,0,0,0,0,3543,0,0,0,0.0,0,0.0,2,0,0,0,0.0,1,0.0,0,0,0.0,0,0,2016.0,0.0,0,0,0,1,0,3373,0,0,0,0.0,0.0
0,0,0.0,1020,0,0,0,0,0,3543,0,0,0,0.0,0,0.0,1,0,0,0,1.0,0,0.0,0,1,0.0,0,0,2017.0,0.0,1,0,0,1,0,8846,0,0,0,0.0,0.0
0,0,0.0,3805,0,1,0,0,0,4466,0,0,0,0.0,0,0.0,1,0,0,0,0.0,0,0.0,0,0,0.0,0,0,2018.0,1.0,0,0,0,1,0,8477,0,0,0,0.0,0.0
0,0,0.0,1404,0,0,0,0,0,9337,0,0,0,0.0,0,0.0,1,0,0,0,1.0,0,0.0,0,0,0.0,0,0,2021.0,0.0,0,0,0,1,0,1948,1,0,0,0.0,0.0
0,0,0.0,5987,0,0,0,0,1,3543,1,0,0,0.0,0,0.0,2,0,0,0,0.0,0,0.0,0,0,0.0,0,0,2018.0,0.0,0,0,0,1,0,1547,1,0,0,0.0,0.0
0,0,0.0,9392,0,0,0,0,1,3944,0,0,0,0.0,0,0.0,2,0,0,0,1.0,0,0.0,0,0,0.0,0,0,2021.0,0.0,0,0,0,1,0,6237,0,0,0,0.0,0.0
0,0,0.0,3419,0,1,0,0,0,9337,1,0,1,0.0,0,0.0,1,0,0,0,0.0,0,0.0,0,0,0.0,0,0,2010.0,1.0,0,0,0,1,0,4143,0,0,0,0.0,0.0
0,0,0.0,2712,0,0,0,0,0,1856,0,0,0,0.0,0,0.0,1,0,0,0,1.0,0,0.0,0,0,0.0,0,0,2006.0,0.0,0,0,0,1,0,9936,0,0,0,0.0,0.0
0,0,0.0,4549,0,0,0,0,0,6044,0,0,0,0.0,0,0.0,1,0,0,0,1.0,0,0.0,0,0,0.0,0,0,2021.0,0.0,0,1,0,1,1,3797,0,0,0,0.0,0.0
0,0,0.0,2744,0,0,0,0,0,5397,0,0,0,0.0,0,0.0,1,1,0,0,0.0,0,0.0,0,0,0.0,0,0,2017.0,1.0,0,0,0,1,1,9806,0,0,0,0.0,0.0
0,0,0.0,9941,0,0,0,0,1,9337,0,0,1,0.0,0,0.0,1,0,0,1,0.0,0,0.0,0,1,0.0,0,0,2019.0,1.0,0,0,0,1,0,6689,0,0,0,0.0,0.0
0,0,0.0,6995,0,0,0,0,0,1325,0,0,0,0.0,0,0.0,1,0,0,0,1.0,0,0.0,0,1,0.0,0,0,2021.0,0.0,0,0,0,1,0,7051,0,0,0,0.0,0.0
0,0,0.0,5506,0,0,0,0,0,9337,1,0,0,0.0,0,0.0,6,0,0,0,0.0,0,0.0,0,0,0.0,0,0,2002.0,1.0,0,0,0,1,1,4933,0,0,0,0.0,0.0
0,0,0.0,9171,0,0,0,0,0,5146,0,1,0,0.0,0,0.0,1,0,0,0,0.0,0,0.0,0,0,0.0,0,0,2013.0,1.0,0,0,0,1,1,4764,0,0,1,0.0,0.0
